,Target,Target_file,Ligand,Num_Atoms,graph_id,Pred. ΔG,Exp. ΔG,Group,finetune_rank,Group_359
25,cdk8,5hnb-chainA-prepared,37,29,cdk8/37,-12.51,-11.46,0.0,0.0,0.0
26,cdk8,5hnb-chainA-prepared,23,29,cdk8/23,-9.13,-8.96,3.0,0.0,3.0
27,cdk8,5hnb-chainA-prepared,15,24,cdk8/15,-7.17,-7.64,0.0,0.0,0.0
28,cdk8,5hnb-chainA-prepared,34,30,cdk8/34,-11.5,-11.13,0.0,0.0,0.0
29,cdk8,5hnb-chainA-prepared,25,27,cdk8/25,-11.04,-9.74,0.0,0.0,0.0
30,cdk8,5hnb-chainA-prepared,14,17,cdk8/14,-7.6,-8.29,0.0,0.0,0.0
31,cdk8,5hnb-chainA-prepared,45,28,cdk8/45,-10.77,-11.13,1.0,0.0,1.0
32,cdk8,5hnb-chainA-prepared,36,30,cdk8/36,-11.72,-11.22,0.0,0.0,0.0
33,cmet,4r1y_prepared,CHEMBL3402753_200,29,cmet/CHEMBL3402753_200,-9.88,-9.14,3.0,6.0,3.0
34,cmet,4r1y_prepared,CHEMBL3402759_5.7,35,cmet/CHEMBL3402759_5.7,-11.93,-11.25,2.0,0.0,3.0
35,cmet,4r1y_prepared,CHEMBL3402747_3400,28,cmet/CHEMBL3402747_3400,-5.97,-7.46,0.0,8.0,0.0
36,cmet,4r1y_prepared,CHEMBL3402744_300,27,cmet/CHEMBL3402744_300,-7.41,-8.9,0.0,0.0,0.0
37,cmet,4r1y_prepared,CHEMBL3402745_200,28,cmet/CHEMBL3402745_200,-8.31,-9.14,0.0,0.0,0.0
38,cmet,4r1y_prepared,CHEMBL3402761_1,37,cmet/CHEMBL3402761_1,-12.22,-12.28,0.0,1.0,0.0
39,cmet,4r1y_prepared,CHEMBL3402750_400,28,cmet/CHEMBL3402750_400,-9.19,-8.73,0.0,7.0,0.0
40,cmet,4r1y_prepared,CHEMBL3402743_42,32,cmet/CHEMBL3402743_42,-9.12,-10.06,0.0,0.0,0.0
41,cmet,4r1y_prepared,CHEMBL3402752_30000,28,cmet/CHEMBL3402752_30000,-5.92,-6.17,1.0,9.0,1.0
42,cmet,4r1y_prepared,CHEMBL3402755_4200,29,cmet/CHEMBL3402755_4200,-8.36,-7.34,3.0,0.0,3.0
43,cmet,4r1y_prepared,CHEMBL3402758_10,33,cmet/CHEMBL3402758_10,-12.24,-10.91,0.0,3.0,0.0
44,cmet,4r1y_prepared,CHEMBL3402749_500,28,cmet/CHEMBL3402749_500,-7.47,-8.6,2.0,0.0,2.0
45,cmet,4r1y_prepared,CHEMBL3402757_6.5,34,cmet/CHEMBL3402757_6.5,-11.8,-11.17,0.0,0.0,0.0
46,cmet,4r1y_prepared,CHEMBL3402765_11-charged-pKa-8.1,35,cmet/CHEMBL3402765_11-charged-pKa-8.1,-9.94,-10.86,1.0,0.0,1.0
47,cmet,4r1y_prepared,CHEMBL3402762_1,37,cmet/CHEMBL3402762_1,-13.45,-12.28,0.0,0.0,0.0
48,cmet,4r1y_prepared,CHEMBL3402742_23,32,cmet/CHEMBL3402742_23,-10.85,-10.42,0.0,0.0,0.0
49,cmet,4r1y_prepared,CHEMBL3402754_40,29,cmet/CHEMBL3402754_40,-9.64,-10.09,2.0,4.0,2.0
50,cmet,4r1y_prepared,CHEMBL3402748_5300,28,cmet/CHEMBL3402748_5300,-6.97,-7.2,0.0,0.0,0.0
51,cmet,4r1y_prepared,CHEMBL3402741_400,36,cmet/CHEMBL3402741_400,-10.16,-8.73,1.0,0.0,1.0
52,cmet,4r1y_prepared,CHEMBL3402763_90,33,cmet/CHEMBL3402763_90,-10.97,-9.61,0.0,5.0,0.0
53,cmet,4r1y_prepared,CHEMBL3402764_90,31,cmet/CHEMBL3402764_90,-9.0,-9.61,0.0,0.0,0.0
54,cmet,4r1y_prepared,CHEMBL3402751_2100,28,cmet/CHEMBL3402751_2100,-6.97,-7.75,3.0,0.0,3.0
55,cmet,4r1y_prepared,CHEMBL3402756_2.7,35,cmet/CHEMBL3402756_2.7,-11.62,-11.69,0.0,2.0,0.0
56,cmet,4r1y_prepared,CHEMBL3402760_1,35,cmet/CHEMBL3402760_1,-12.26,-12.28,0.0,0.0,0.0
57,eg5,3l9h_prepared,CHEMBL1078774,26,eg5/CHEMBL1078774,-9.17,-10.6,2.0,0.0,3.0
58,eg5,3l9h_prepared,CHEMBL1093087,35,eg5/CHEMBL1093087,-11.56,-10.53,0.0,6.0,0.0
59,eg5,3l9h_prepared,CHEMBL1082249,30,eg5/CHEMBL1082249,-11.07,-11.22,0.0,0.0,0.0
60,eg5,3l9h_prepared,CHEMBL1089393,21,eg5/CHEMBL1089393,-8.57,-8.38,0.0,9.0,0.0
61,eg5,3l9h_prepared,CHEMBL1078691,25,eg5/CHEMBL1078691,-10.23,-10.19,0.0,0.0,0.0
62,eg5,3l9h_prepared,CHEMBL1086409,28,eg5/CHEMBL1086409,-9.68,-9.87,0.0,0.0,0.0
63,eg5,3l9h_prepared,CHEMBL1082248,25,eg5/CHEMBL1082248,-11.09,-11.63,0.0,0.0,0.0
64,eg5,3l9h_prepared,CHEMBL1084678,34,eg5/CHEMBL1084678,-13.62,-11.13,0.0,4.0,0.0
65,eg5,3l9h_prepared,CHEMBL1084115,23,eg5/CHEMBL1084115,-9.81,-9.44,3.0,8.0,3.0
66,eg5,3l9h_prepared,CHEMBL1084431,38,eg5/CHEMBL1084431,-10.05,-9.8,1.0,0.0,1.0
67,eg5,3l9h_prepared,CHEMBL1085895,33,eg5/CHEMBL1085895,-10.92,-10.86,0.0,5.0,0.0
68,eg5,3l9h_prepared,CHEMBL1084677,33,eg5/CHEMBL1084677,-11.84,-11.46,3.0,2.0,3.0
69,eg5,3l9h_prepared,CHEMBL1077227,26,eg5/CHEMBL1077227,-10.82,-11.32,3.0,3.0,3.0
70,eg5,3l9h_prepared,CHEMBL1086410,27,eg5/CHEMBL1086410,-10.27,-11.46,0.0,0.0,0.0
71,eg5,3l9h_prepared,CHEMBL1083517,28,eg5/CHEMBL1083517,-11.24,-11.46,0.0,0.0,0.0
72,eg5,3l9h_prepared,CHEMBL1096003,32,eg5/CHEMBL1096003,-12.16,-11.87,0.0,1.0,0.0
73,eg5,3l9h_prepared,CHEMBL1077204,34,eg5/CHEMBL1077204,-11.65,-11.05,0.0,0.0,0.0
74,eg5,3l9h_prepared,CHEMBL1083836,26,eg5/CHEMBL1083836,-10.53,-10.86,1.0,0.0,1.0
75,eg5,3l9h_prepared,CHEMBL1085666,26,eg5/CHEMBL1085666,-10.65,-10.5,0.0,0.0,0.0
76,eg5,3l9h_prepared,CHEMBL1085692,32,eg5/CHEMBL1085692,-12.65,-11.32,0.0,0.0,0.0
77,eg5,3l9h_prepared,CHEMBL1084143,34,eg5/CHEMBL1084143,-12.24,-11.87,0.0,0.0,0.0
78,eg5,3l9h_prepared,CHEMBL1096002,27,eg5/CHEMBL1096002,-10.96,-11.13,1.0,0.0,1.0
79,eg5,3l9h_prepared,CHEMBL1089056,24,eg5/CHEMBL1089056,-9.41,-9.44,2.0,0.0,2.0
80,eg5,3l9h_prepared,CHEMBL1093088,30,eg5/CHEMBL1093088,-9.65,-11.22,0.0,0.0,0.0
81,eg5,3l9h_prepared,CHEMBL1084676,34,eg5/CHEMBL1084676,-10.6,-10.71,0.0,0.0,0.0
82,eg5,3l9h_prepared,CHEMBL1084935,31,eg5/CHEMBL1084935,-9.39,-10.53,2.0,0.0,2.0
83,eg5,3l9h_prepared,CHEMBL1078998,23,eg5/CHEMBL1078998,-10.45,-10.37,0.0,7.0,0.0
84,eg5,3l9h_prepared,CHEMBL1088740,21,eg5/CHEMBL1088740,-8.64,-8.7,0.0,0.0,0.0
85,hif2a,5tbm_prepared,338,27,hif2a/338,-9.28,-10.76,0.0,2.0,0.0
86,hif2a,5tbm_prepared,43,24,hif2a/43,-8.95,-8.7,0.0,8.0,0.0
87,hif2a,5tbm_prepared,235,28,hif2a/235,-9.42,-10.12,0.0,5.0,0.0
88,hif2a,5tbm_prepared,234,26,hif2a/234,-10.56,-10.35,0.0,0.0,0.0
89,hif2a,5tbm_prepared,30,25,hif2a/30,-10.91,-10.57,2.0,3.0,3.0
90,hif2a,5tbm_prepared,1,25,hif2a/1,-10.08,-11.32,0.0,1.0,0.0
91,hif2a,5tbm_prepared,237,28,hif2a/237,-9.67,-9.55,0.0,7.0,0.0
92,hif2a,5tbm_prepared,227,28,hif2a/227,-11.78,-10.76,0.0,0.0,0.0
93,hif2a,5tbm_prepared,266,30,hif2a/266,-9.94,-10.53,3.0,0.0,3.0
94,hif2a,5tbm_prepared,206,27,hif2a/206,-8.72,-10.12,0.0,0.0,0.0
95,hif2a,5tbm_prepared,67,23,hif2a/67,-11.2,-10.17,0.0,0.0,0.0
96,hif2a,5tbm_prepared,156,25,hif2a/156,-9.35,-9.74,0.0,6.0,0.0
97,hif2a,5tbm_prepared,31,24,hif2a/31,-9.42,-8.84,0.0,0.0,0.0
98,hif2a,5tbm_prepared,289,26,hif2a/289,-11.65,-10.91,2.0,0.0,2.0
99,hif2a,5tbm_prepared,61,24,hif2a/61,-9.47,-10.11,0.0,0.0,0.0
100,hif2a,5tbm_prepared,167,27,hif2a/167,-10.9,-10.67,0.0,0.0,0.0
101,hif2a,5tbm_prepared,165,26,hif2a/165,-9.04,-9.24,0.0,0.0,0.0
102,hif2a,5tbm_prepared,41,24,hif2a/41,-10.76,-9.79,0.0,0.0,0.0
103,hif2a,5tbm_prepared,7b,26,hif2a/7b,-6.51,-7.39,0.0,0.0,0.0
104,hif2a,5tbm_prepared,54,24,hif2a/54,-8.31,-9.31,1.0,0.0,1.0
105,hif2a,5tbm_prepared,215,27,hif2a/215,-10.04,-10.6,0.0,0.0,0.0
106,hif2a,5tbm_prepared,57,27,hif2a/57,-10.88,-10.67,0.0,0.0,0.0
107,hif2a,5tbm_prepared,42,25,hif2a/42,-9.77,-8.94,0.0,0.0,0.0
108,hif2a,5tbm_prepared,35,25,hif2a/35,-11.51,-7.15,0.0,0.0,0.0
109,hif2a,5tbm_prepared,252,26,hif2a/252,-9.57,-9.71,0.0,0.0,0.0
110,hif2a,5tbm_prepared,336,26,hif2a/336,-9.88,-9.82,1.0,0.0,1.0
111,hif2a,5tbm_prepared,290,29,hif2a/290,-11.2,-10.57,1.0,0.0,1.0
112,hif2a,5tbm_prepared,155,26,hif2a/155,-10.0,-10.5,0.0,0.0,0.0
113,hif2a,5tbm_prepared,164,26,hif2a/164,-6.88,-6.76,0.0,9.0,0.0
114,hif2a,5tbm_prepared,7a,26,hif2a/7a,-8.58,-10.0,2.0,0.0,2.0
115,hif2a,5tbm_prepared,224,26,hif2a/224,-10.72,-9.66,3.0,0.0,3.0
116,hif2a,5tbm_prepared,84,25,hif2a/84,-8.81,-7.58,0.0,0.0,0.0
117,hif2a,5tbm_prepared,254,27,hif2a/254,-10.23,-9.55,0.0,0.0,0.0
118,hif2a,5tbm_prepared,23,26,hif2a/23,-8.0,-7.07,0.0,0.0,0.0
119,hif2a,5tbm_prepared,251,26,hif2a/251,-9.61,-10.24,0.0,0.0,0.0
120,hif2a,5tbm_prepared,256,25,hif2a/256,-9.16,-10.67,0.0,0.0,0.0
121,hif2a,5tbm_prepared,50,22,hif2a/50,-8.86,-9.7,0.0,0.0,0.0
122,hif2a,5tbm_prepared,231,25,hif2a/231,-10.63,-10.02,0.0,0.0,0.0
123,hif2a,5tbm_prepared,15,28,hif2a/15,-11.29,-11.05,0.0,0.0,0.0
124,hif2a,5tbm_prepared,124,25,hif2a/124,-9.93,-10.12,3.0,0.0,3.0
125,hif2a,5tbm_prepared,25,26,hif2a/25,-9.18,-10.28,0.0,4.0,0.0
126,hif2a,5tbm_prepared,163,26,hif2a/163,-10.0,-11.01,0.0,0.0,0.0
127,pfkfb3,6hvi_prepared,43,28,pfkfb3/43,-8.82,-8.0,0.0,0.0,0.0
128,pfkfb3,6hvi_prepared,30,29,pfkfb3/30,-9.41,-9.2,0.0,0.0,0.0
129,pfkfb3,6hvi_prepared,65,30,pfkfb3/65,-9.34,-9.49,0.0,0.0,0.0
130,pfkfb3,6hvi_prepared,49,28,pfkfb3/49,-6.68,-7.93,0.0,0.0,0.0
131,pfkfb3,6hvi_prepared,24,29,pfkfb3/24,-9.79,-8.87,2.0,0.0,3.0
132,pfkfb3,6hvi_prepared,67,31,pfkfb3/67,-10.57,-10.24,0.0,0.0,0.0
133,pfkfb3,6hvi_prepared,62,30,pfkfb3/62,-6.28,-7.69,0.0,8.0,0.0
134,pfkfb3,6hvi_prepared,56,32,pfkfb3/56,-11.72,-10.57,0.0,0.0,0.0
135,pfkfb3,6hvi_prepared,59,31,pfkfb3/59,-6.95,-8.12,0.0,0.0,0.0
136,pfkfb3,6hvi_prepared,38,30,pfkfb3/38,-7.23,-8.76,0.0,5.0,0.0
137,pfkfb3,6hvi_prepared,31,29,pfkfb3/31,-10.4,-9.28,0.0,4.0,0.0
138,pfkfb3,6hvi_prepared,48,29,pfkfb3/48,-6.78,-8.01,0.0,7.0,0.0
139,pfkfb3,6hvi_prepared,58,30,pfkfb3/58,-8.36,-9.13,3.0,0.0,3.0
140,pfkfb3,6hvi_prepared,41,32,pfkfb3/41,-7.65,-7.39,0.0,0.0,0.0
141,pfkfb3,6hvi_prepared,29,31,pfkfb3/29,-10.12,-9.65,0.0,0.0,0.0
142,pfkfb3,6hvi_prepared,54,33,pfkfb3/54,-8.1,-8.18,3.0,0.0,3.0
143,pfkfb3,6hvi_prepared,47,29,pfkfb3/47,-6.3,-8.33,2.0,0.0,2.0
144,pfkfb3,6hvi_prepared,26,30,pfkfb3/26,-9.37,-9.17,0.0,0.0,0.0
145,pfkfb3,6hvi_prepared,55,32,pfkfb3/55,-11.98,-10.64,0.0,0.0,0.0
146,pfkfb3,6hvi_prepared,20,29,pfkfb3/20,-7.26,-8.52,1.0,0.0,1.0
147,pfkfb3,6hvi_prepared,57,33,pfkfb3/57,-11.1,-10.47,0.0,0.0,0.0
148,pfkfb3,6hvi_prepared,42,29,pfkfb3/42,-8.05,-8.47,0.0,6.0,0.0
149,pfkfb3,6hvi_prepared,35,31,pfkfb3/35,-10.54,-10.14,0.0,0.0,0.0
150,pfkfb3,6hvi_prepared,44,28,pfkfb3/44,-8.52,-9.95,0.0,3.0,0.0
151,pfkfb3,6hvi_prepared,63,30,pfkfb3/63,-8.1,-8.56,0.0,0.0,0.0
152,pfkfb3,6hvi_prepared,69,31,pfkfb3/69,-11.46,-10.71,0.0,1.0,0.0
153,pfkfb3,6hvi_prepared,52,32,pfkfb3/52,-9.24,-10.4,1.0,0.0,1.0
154,pfkfb3,6hvi_prepared,19,27,pfkfb3/19,-8.58,-7.55,2.0,0.0,2.0
155,pfkfb3,6hvi_prepared,68,31,pfkfb3/68,-11.32,-9.78,0.0,0.0,0.0
156,pfkfb3,6hvi_prepared,33,29,pfkfb3/33,-10.09,-8.61,0.0,0.0,0.0
157,pfkfb3,6hvi_prepared,70,31,pfkfb3/70,-10.73,-10.3,0.0,2.0,0.0
158,pfkfb3,6hvi_prepared,53,33,pfkfb3/53,-8.04,-7.0,0.0,9.0,0.0
159,pfkfb3,6hvi_prepared,64,30,pfkfb3/64,-9.29,-9.42,0.0,0.0,0.0
160,pfkfb3,6hvi_prepared,39,28,pfkfb3/39,-5.77,-7.2,0.0,0.0,0.0
161,pfkfb3,6hvi_prepared,37,36,pfkfb3/37,-12.26,-10.0,0.0,0.0,0.0
162,pfkfb3,6hvi_prepared,23,27,pfkfb3/23,-8.77,-7.91,0.0,0.0,0.0
163,pfkfb3,6hvi_prepared,60,32,pfkfb3/60,-7.37,-8.14,0.0,0.0,0.0
164,pfkfb3,6hvi_prepared,34,30,pfkfb3/34,-10.37,-9.97,1.0,0.0,1.0
165,pfkfb3,6hvi_prepared,36,32,pfkfb3/36,-7.98,-7.44,0.0,0.0,0.0
166,pfkfb3,6hvi_prepared,46,31,pfkfb3/46,-6.35,-7.86,3.0,0.0,3.0
167,shp2,5ehr_prepared,SHP099-1/Example 7,23,shp2/SHP099-1/Example 7,-9.27,-9.75,3.0,0.0,3.0
168,shp2,5ehr_prepared,Example 22,24,shp2/Example 22,-8.79,-9.24,2.0,2.0,3.0
169,shp2,5ehr_prepared,Example 29,21,shp2/Example 29,-6.85,-7.62,0.0,0.0,0.0
170,shp2,5ehr_prepared,11,24,shp2/11,-6.49,-6.35,0.0,0.0,0.0
171,shp2,5ehr_prepared,4,23,shp2/4,-5.94,-5.82,0.0,0.0,0.0
172,shp2,5ehr_prepared,Example 2,23,shp2/Example 2,-7.93,-8.28,0.0,0.0,0.0
173,shp2,5ehr_prepared,Example 14,22,shp2/Example 14,-9.38,-9.78,0.0,1.0,0.0
174,shp2,5ehr_prepared,Example 26,26,shp2/Example 26,-9.0,-8.96,0.0,0.0,0.0
175,shp2,5ehr_prepared,SHP836-2,23,shp2/SHP836-2,-7.74,-6.71,1.0,8.0,1.0
176,shp2,5ehr_prepared,Example 6,24,shp2/Example 6,-10.86,-9.07,3.0,3.0,3.0
177,shp2,5ehr_prepared,Example 1,23,shp2/Example 1,-9.13,-8.99,0.0,0.0,0.0
178,shp2,5ehr_prepared,3,22,shp2/3,-6.55,-5.46,2.0,9.0,2.0
179,shp2,5ehr_prepared,Example 9,23,shp2/Example 9,-9.73,-8.79,0.0,0.0,0.0
180,shp2,5ehr_prepared,Example 8,24,shp2/Example 8,-9.85,-9.71,1.0,0.0,1.0
181,shp2,5ehr_prepared,7,24,shp2/7,-8.92,-7.08,0.0,0.0,0.0
182,shp2,5ehr_prepared,Example 24,24,shp2/Example 24,-8.14,-9.08,0.0,0.0,0.0
183,shp2,5ehr_prepared,Example 28,24,shp2/Example 28,-8.07,-8.46,2.0,0.0,2.0
184,shp2,5ehr_prepared,10,22,shp2/10,-7.32,-7.15,0.0,0.0,0.0
185,shp2,5ehr_prepared,Example 25,25,shp2/Example 25,-7.67,-8.87,0.0,4.0,0.0
186,shp2,5ehr_prepared,Example 27,23,shp2/Example 27,-8.65,-8.52,0.0,5.0,0.0
187,shp2,5ehr_prepared,6,22,shp2/6,-9.32,-8.03,0.0,0.0,0.0
188,shp2,5ehr_prepared,Example 30,23,shp2/Example 30,-8.87,-9.16,0.0,0.0,0.0
189,shp2,5ehr_prepared,Example 5,25,shp2/Example 5,-6.15,-7.56,0.0,7.0,0.0
190,shp2,5ehr_prepared,Example 4,21,shp2/Example 4,-7.03,-8.2,3.0,6.0,3.0
191,shp2,5ehr_prepared,Example 23,24,shp2/Example 23,-8.29,-8.74,1.0,0.0,1.0
192,shp2,5ehr_prepared,Example 3,21,shp2/Example 3,-7.68,-8.22,0.0,0.0,0.0
193,syk,4pv0-prepared,CHEMBL3264999,38,syk/CHEMBL3264999,-11.59,-11.42,0.0,0.0,0.0
194,syk,4pv0-prepared,CHEMBL3265014,31,syk/CHEMBL3265014,-9.96,-10.4,0.0,7.0,0.0
195,syk,4pv0-prepared,CHEMBL3265034,31,syk/CHEMBL3265034,-11.09,-11.49,0.0,0.0,0.0
196,syk,4pv0-prepared,CHEMBL3265015,30,syk/CHEMBL3265015,-7.57,-9.48,0.0,0.0,0.0
197,syk,4pv0-prepared,CHEMBL3265036,32,syk/CHEMBL3265036,-11.51,-10.42,1.0,0.0,1.0
198,syk,4pv0-prepared,CHEMBL3265020,29,syk/CHEMBL3265020,-9.98,-11.01,0.0,0.0,0.0
199,syk,4pv0-prepared,CHEMBL3265023,30,syk/CHEMBL3265023,-10.5,-10.48,0.0,0.0,0.0
200,syk,4pv0-prepared,CHEMBL3265002,40,syk/CHEMBL3265002,-12.79,-10.61,0.0,6.0,0.0
201,syk,4pv0-prepared,CHEMBL3265033,33,syk/CHEMBL3265033,-11.17,-11.84,3.0,0.0,3.0
202,syk,4pv0-prepared,CHEMBL3265027,25,syk/CHEMBL3265027,-10.04,-10.33,0.0,0.0,0.0
203,syk,4pv0-prepared,CHEMBL3265028,27,syk/CHEMBL3265028,-10.49,-11.01,0.0,0.0,0.0
204,syk,4pv0-prepared,CHEMBL3264997,38,syk/CHEMBL3264997,-11.31,-10.98,0.0,0.0,0.0
205,syk,4pv0-prepared,CHEMBL3264996,39,syk/CHEMBL3264996,-12.06,-10.67,2.0,0.0,3.0
206,syk,4pv0-prepared,CHEMBL3264994,38,syk/CHEMBL3264994,-11.33,-9.81,0.0,0.0,0.0
207,syk,4pv0-prepared,CHEMBL3264995,38,syk/CHEMBL3264995,-12.21,-12.39,0.0,0.0,0.0
208,syk,4pv0-prepared,CHEMBL3265032,31,syk/CHEMBL3265032,-10.83,-11.06,0.0,0.0,0.0
209,syk,4pv0-prepared,CHEMBL3265031,33,syk/CHEMBL3265031,-11.53,-12.07,0.0,0.0,0.0
210,syk,4pv0-prepared,CHEMBL3265037,33,syk/CHEMBL3265037,-11.17,-12.77,0.0,1.0,0.0
211,syk,4pv0-prepared,CHEMBL3265026,30,syk/CHEMBL3265026,-9.49,-11.36,0.0,0.0,0.0
212,syk,4pv0-prepared,CHEMBL3265012,30,syk/CHEMBL3265012,-11.05,-10.55,0.0,0.0,0.0
213,syk,4pv0-prepared,CHEMBL3265003,40,syk/CHEMBL3265003,-13.39,-10.82,0.0,0.0,0.0
214,syk,4pv0-prepared,CHEMBL3264998,39,syk/CHEMBL3264998,-13.18,-11.72,0.0,0.0,0.0
215,syk,4pv0-prepared,CHEMBL3265029,27,syk/CHEMBL3265029,-10.63,-11.12,0.0,0.0,0.0
216,syk,4pv0-prepared,CHEMBL3265035,30,syk/CHEMBL3265035,-11.41,-11.08,0.0,4.0,0.0
217,syk,4pv0-prepared,CHEMBL3265024,31,syk/CHEMBL3265024,-9.62,-11.79,2.0,0.0,2.0
218,syk,4pv0-prepared,CHEMBL3265018,29,syk/CHEMBL3265018,-10.93,-11.19,3.0,0.0,3.0
219,syk,4pv0-prepared,CHEMBL3265008,30,syk/CHEMBL3265008,-10.6,-9.78,0.0,0.0,0.0
220,syk,4pv0-prepared,CHEMBL3265016,29,syk/CHEMBL3265016,-9.59,-11.69,0.0,0.0,0.0
221,syk,4pv0-prepared,CHEMBL3265025,31,syk/CHEMBL3265025,-10.36,-10.2,0.0,0.0,0.0
222,syk,4pv0-prepared,CHEMBL3265013,30,syk/CHEMBL3265013,-10.35,-9.81,0.0,0.0,0.0
223,syk,4pv0-prepared,CHEMBL3259820,29,syk/CHEMBL3259820,-10.32,-10.57,0.0,0.0,0.0
224,syk,4pv0-prepared,CHEMBL3265001,40,syk/CHEMBL3265001,-12.81,-12.03,0.0,0.0,0.0
225,syk,4pv0-prepared,CHEMBL3265006,30,syk/CHEMBL3265006,-10.06,-9.96,0.0,8.0,0.0
226,syk,4pv0-prepared,CHEMBL3265030_n,31,syk/CHEMBL3265030_n,-11.28,-11.47,0.0,3.0,0.0
227,syk,4pv0-prepared,CHEMBL3265022,30,syk/CHEMBL3265022,-10.29,-10.79,2.0,0.0,2.0
228,syk,4pv0-prepared,CHEMBL3265019,29,syk/CHEMBL3265019,-11.54,-10.78,0.0,0.0,0.0
229,syk,4pv0-prepared,CHEMBL3265004,40,syk/CHEMBL3265004,-12.83,-10.86,1.0,5.0,1.0
230,syk,4pv0-prepared,CHEMBL3265009,30,syk/CHEMBL3265009,-10.82,-10.3,1.0,0.0,1.0
231,syk,4pv0-prepared,CHEMBL3265021,29,syk/CHEMBL3265021,-10.48,-10.89,0.0,0.0,0.0
232,syk,4pv0-prepared,CHEMBL3265011,30,syk/CHEMBL3265011,-6.76,-8.64,0.0,9.0,0.0
233,syk,4pv0-prepared,CHEMBL3265005,29,syk/CHEMBL3265005,-10.43,-10.33,3.0,0.0,3.0
234,syk,4pv0-prepared,CHEMBL3265017,29,syk/CHEMBL3265017,-10.59,-11.49,0.0,0.0,0.0
235,syk,4pv0-prepared,CHEMBL3265000,42,syk/CHEMBL3265000,-12.9,-11.81,0.0,2.0,0.0
236,syk,4pv0-prepared,CHEMBL3265010,31,syk/CHEMBL3265010,-10.54,-10.14,0.0,0.0,0.0
237,tnks2,4ui5-prepared,3a,21,tnks2/3a,-12.41,-11.0,2.0,0.0,3.0
238,tnks2,4ui5-prepared,5f,22,tnks2/5f,-11.45,-10.26,0.0,0.0,0.0
239,tnks2,4ui5-prepared,8e,26,tnks2/8e,-8.08,-10.24,0.0,0.0,0.0
240,tnks2,4ui5-prepared,5l,23,tnks2/5l,-11.92,-10.09,0.0,0.0,0.0
241,tnks2,4ui5-prepared,8b,26,tnks2/8b,-10.05,-11.93,0.0,0.0,0.0
242,tnks2,4ui5-prepared,5g,22,tnks2/5g,-11.9,-10.81,0.0,0.0,0.0
243,tnks2,4ui5-prepared,1b,19,tnks2/1b,-9.58,-9.94,0.0,0.0,0.0
244,tnks2,4ui5-prepared,5e,22,tnks2/5e,-10.93,-10.11,0.0,7.0,0.0
245,tnks2,4ui5-prepared,5i,22,tnks2/5i,-13.17,-12.08,1.0,0.0,1.0
